timestamp,close,open,high,low,volume,rsi,adx,macd_hist,bb_upper,bb_lower,stoch_k,cci
2026-09-02 00:47:57.447643,34.72,34.72,34.72,34.72,907.0,60.02329378300696,39.02920183613927,0.031255199257533,35.45310436851324,32.6168956314868,72.83130695527903,81.34498779431921
2026-09-02 00:50:22.128040,34.72,34.72,34.72,34.72,907.0,60.02329378300696,39.02920183613927,0.031255199257533,35.45310436851324,32.6168956314868,72.83130695527903,81.34498779431921
2026-09-02 00:58:51.039314,34.72,34.72,34.72,34.72,907.0,60.02329378300696,39.02920183613927,0.031255199257533,35.45310436851324,32.6168956314868,72.83130695527903,81.34498779431921
2026-09-01 22:20:24.476715,34.72,34.72,34.72,34.72,907.0,60.02329378300696,39.02920183613927,0.031255199257533,35.45310436851324,32.6168956314868,72.83130695527903,81.34498779431921
2026-09-02 12:02:45.523651,32.82,33.04,33.2,32.82,8360.0,36.03564530498388,34.81266923450649,-0.2042060222245367,35.37652547438013,32.795474525619696,4.752920035938981,-149.8907314564837
2026-09-02 16:37:27.970589,33.08,33.08,33.08,33.08,414.0,40.5379607393603,41.09563720196919,-0.0667374910455381,34.64990096145659,32.58009903854323,41.75084175084164,-68.84531590413785
2026-09-02 18:44:49.785322,33.08,33.08,33.08,33.08,414.0,40.5379607393603,41.09563720196919,-0.0667374910455381,34.64990096145659,32.58009903854323,41.75084175084164,-68.84531590413785
2026-09-03 12:02:18.083288,32.88,32.88,32.88,32.88,250.0,44.325785333017386,30.32276131216648,0.0263234228530884,33.50519916370111,32.50080083629872,50.29239766081886,-32.29076165652482
2026-09-03 16:28:51.891247,33.18,33.18,33.18,33.18,948.0,52.20113842139264,28.50628257972764,0.0599159747463759,33.35558658254696,32.43441341745286,65.92592592592608,129.74099911795656
2026-09-03 18:42:07.141784,33.18,33.18,33.18,33.18,948.0,52.20113842139264,28.50628257972764,0.0599159747463759,33.35558658254696,32.43441341745286,65.92592592592608,129.74099911795656
2026-09-04 12:04:01.104783,32.98,33.0,33.0,32.98,123.0,50.21056201472058,41.69362344583626,0.0322662660150774,33.25049964841513,32.53950035158469,60.97560975609783,67.734682405855
2026-09-04 16:24:41.169225,32.82,32.82,32.82,32.82,1786.0,47.94897187483723,43.73840691502194,0.0103667769738517,33.18601803228987,32.57598196770996,57.50915750915794,-27.019796682703536
2026-09-04 18:25:52.125753,32.82,32.82,32.82,32.82,1786.0,47.94897187483723,43.73840691502194,0.0103667769738517,33.18601803228987,32.57598196770996,57.50915750915794,-27.019796682703536
2026-09-07 13:25:37.906448,32.44,32.78,32.78,32.44,3010.0,42.14138819387528,56.04753942396875,-0.0111664664564194,33.01394202293496,32.462057977064866,54.90196078431328,-130.61018658596416
2026-09-07 18:21:25.026743,32.82,32.82,32.82,32.82,576.0,51.867329739623344,57.09556563181846,0.0185574863782928,32.98173516522857,32.43826483477126,82.09876543209859,85.1926977687778
2026-09-07 19:11:27.040788,32.82,32.82,32.82,32.82,576.0,51.867329739623344,57.09556563181846,0.0185574863782928,32.98173516522857,32.43826483477126,82.09876543209859,85.1926977687778
2026-09-08 12:04:37.219248,33.12,33.3,33.3,33.12,588.0,54.15789702812307,43.29896338716004,0.0538153140604284,33.51980888813667,32.26419111186315,43.518518518518455,61.440298239959255
2026-09-08 16:41:17.616193,33.2,33.2,33.2,33.16,71.0,55.30240091858522,30.02914830684116,0.001306372249437,33.630217348537506,32.5257826514623,35.13676188407376,30.782205355265656
2026-09-08 18:42:37.842876,33.2,33.2,33.2,33.16,71.0,55.30240091858522,30.02914830684116,0.001306372249437,33.630217348537506,32.5257826514623,35.13676188407376,30.782205355265656
2026-09-09 12:15:35.232561,33.58,33.78,33.78,33.58,1646.0,54.56153120709282,25.29489566305257,-0.0065395087057011,34.0769919209474,32.96300807905255,48.9451476793249,31.97199533255045
2026-09-09 16:45:59.133491,34.3,34.3,34.3,34.3,500.0,68.43575185111658,20.697470662141377,0.0341020194236682,34.32013291795307,33.15386708204688,72.4615772234818,202.92949060071737
2026-09-09 18:39:00.009575,34.3,34.3,34.3,34.3,500.0,68.43575185111658,20.697470662141377,0.0341020194236682,34.32013291795307,33.15386708204688,72.4615772234818,202.92949060071737
2026-09-10 12:09:48.059893,33.6,32.72,33.78,32.72,4669.0,48.703944493274676,20.175698161485922,-0.11220382331495204,34.59521778450604,33.05678221549392,35.76388888888889,-136.64717348928176
