timestamp,close,open,high,low,volume,rsi,adx,macd_hist,bb_upper,bb_lower,stoch_k,cci
2026-09-02 00:47:57.372900,6.49,6.49,6.49,6.49,29672.0,54.47838124150512,18.59262102042382,0.0052397119530983,6.493431266758175,6.402568733241854,49.62962962962973,150.4369538077528
2026-09-02 00:50:21.573691,6.49,6.49,6.49,6.49,29672.0,54.47838124150512,18.59262102042382,0.0052397119530983,6.493431266758175,6.402568733241854,49.62962962962973,150.4369538077528
2026-09-02 00:58:50.402967,6.49,6.49,6.49,6.49,29672.0,54.47838124150512,18.59262102042382,0.0052397119530983,6.493431266758175,6.402568733241854,49.62962962962973,150.4369538077528
2026-09-01 22:20:24.411792,6.49,6.49,6.49,6.49,29672.0,54.47838124150512,18.59262102042382,0.0052397119530983,6.493431266758175,6.402568733241854,49.62962962962973,150.4369538077528
2026-09-02 12:02:45.447048,6.34,6.36,6.36,6.34,46957.0,38.57336450641839,17.23916972309836,-0.0041411649773263,6.5081596317913775,6.302840368208639,19.29824561403512,-90.68261086198046
2026-09-02 16:37:27.914251,6.35,6.35,6.35,6.35,25995.0,40.66756975705855,14.351318393890194,0.002672991068856,6.462346353170743,6.291653646829273,46.66666666666691,-62.46575342465868
2026-09-02 18:44:49.715430,6.35,6.35,6.35,6.35,25995.0,40.66756975705855,14.351318393890194,0.002672991068856,6.462346353170743,6.291653646829273,46.66666666666691,-62.46575342465868
2026-09-03 12:02:18.009761,6.28,6.29,6.29,6.27,14709.0,40.84719747926985,18.555194306838978,0.0002616827113868,6.4043650411255495,6.239634958874463,35.71428571428567,-80.85430968726155
2026-09-03 16:28:51.805702,6.34,6.34,6.34,6.34,104993.0,54.54416640713919,14.007382832909364,0.008671077203106,6.363168308679565,6.227831691320448,52.083333333333286,103.07662159514427
2026-09-03 18:42:07.070477,6.34,6.34,6.34,6.34,104993.0,54.54416640713919,14.007382832909364,0.008671077203106,6.363168308679565,6.227831691320448,52.083333333333286,103.07662159514427
2026-09-04 12:04:01.028371,6.25,6.25,6.25,6.24,6937.0,42.43698117741314,19.523598570885035,0.0009714293651658,6.318489129145369,6.226510870854647,25.505050505050463,-96.01081812035098
2026-09-04 16:24:41.118755,6.41,6.41,6.41,6.41,38683.0,69.9933423804375,19.11473887047737,0.018332469494246,6.3830262392875525,6.201973760712463,97.77777777777784,237.442922374429
2026-09-04 18:25:52.083895,6.41,6.41,6.41,6.41,38683.0,69.9933423804375,19.11473887047737,0.018332469494246093,6.3830262392875525,6.2019737607124625,97.77777777777783,237.442922374429
