timestamp,close,open,high,low,volume,rsi,adx,macd_hist,bb_upper,bb_lower,stoch_k,cci
2026-09-02 00:47:57.552871,5.36,5.36,5.36,5.36,69448.0,27.088694291136846,13.458353545659111,-0.0032991284805479,5.540363436475986,5.333636563524011,9.8086124401916,-122.2651222651182
2026-09-02 00:50:22.758326,5.36,5.36,5.36,5.36,69448.0,27.088694291136846,13.458353545659111,-0.0032991284805479,5.540363436475986,5.333636563524011,9.8086124401916,-122.2651222651182
2026-09-02 00:58:51.744186,5.36,5.36,5.36,5.36,69448.0,27.088694291136846,13.458353545659111,-0.0032991284805479,5.540363436475986,5.333636563524011,9.8086124401916,-122.2651222651182
2026-09-01 22:20:24.580543,5.36,5.36,5.36,5.36,69448.0,27.088694291136846,13.458353545659111,-0.0032991284805479,5.540363436475986,5.333636563524011,9.8086124401916,-122.2651222651182
2026-09-02 12:02:45.658402,5.23,5.21,5.23,5.21,297364.0,27.185822758936908,26.42460527290159,-0.0018028497522234,5.470872620417918,5.149127379582074,11.666666666666558,-79.43578322196869
2026-09-02 16:37:28.028461,5.19,5.19,5.19,5.19,151674.0,32.38955694193017,26.626235031374883,0.0031303528458385,5.353754432531886,5.142245567468105,49.12280701754411,-96.33278598795155
2026-09-02 18:44:49.857345,5.19,5.19,5.19,5.19,151674.0,32.38955694193017,26.626235031374883,0.0031303528458385,5.353754432531886,5.142245567468105,49.12280701754411,-96.33278598795155
2026-09-03 12:02:18.158868,5.11,5.14,5.14,5.11,214668.0,30.06922531908276,28.67173660608849,0.002930571807584,5.278993718395483,5.080006281604508,22.50457875457902,-100.98452883262148
2026-09-03 16:28:51.971435,5.1,5.1,5.1,5.1,50308.0,35.80648884642102,29.56066885598868,0.0041602320344638,5.203349832963205,5.068650167036786,25.7964257964256,-88.25847123718727
2026-09-03 18:42:07.214607,5.1,5.1,5.1,5.1,50308.0,35.80648884642102,29.56066885598868,0.0041602320344638,5.203349832963205,5.068650167036786,25.7964257964256,-88.25847123718727
2026-09-04 12:04:01.183301,4.99,5.0,5.0,4.98,598210.0,29.071246288418,32.33580532829528,-0.0049221503945811,5.178258948822628,4.961741051177362,8.333333333333519,-119.47170725795311
2026-09-04 16:24:41.221892,5.08,5.08,5.08,5.08,134520.0,51.29718642974432,26.81458784479296,0.0149311427663605,5.143636743691295,4.953363256308694,77.31227106227118,48.95552992439664
2026-09-04 18:25:52.168807,5.08,5.08,5.08,5.08,134520.0,51.29718642974432,26.814587844792957,0.0149311427663605,5.143636743691295,4.953363256308694,77.31227106227118,48.95552992439664
2026-09-07 13:25:37.981152,5.2,5.22,5.22,5.19,448139.0,66.4434192186194,40.99327814383849,0.011435259243256144,5.233661915664325,5.017338084335663,84.19117647058823,116.86879823594582
