timestamp,close,open,high,low,volume,rsi,adx,macd_hist,bb_upper,bb_lower,stoch_k,cci
2026-09-02 00:47:57.451903,8.3,8.3,8.3,8.3,201665.0,20.30428864797527,30.728409052064503,-0.0187153158914355,8.766086001214337,8.268913998785667,1.9327731092438185,-140.24644945697295
2026-09-02 00:50:22.171804,8.3,8.3,8.3,8.3,201665.0,20.30428864797527,30.728409052064503,-0.0187153158914355,8.766086001214337,8.268913998785667,1.9327731092438185,-140.24644945697295
2026-09-02 00:58:51.091631,8.3,8.3,8.3,8.3,201665.0,20.30428864797527,30.728409052064503,-0.0187153158914355,8.766086001214337,8.268913998785667,1.9327731092438185,-140.24644945697295
2026-09-01 22:20:24.483702,8.3,8.3,8.3,8.3,201665.0,20.30428864797527,30.728409052064503,-0.0187153158914355,8.766086001214337,8.268913998785667,1.9327731092438185,-140.24644945697295
2026-09-02 12:02:45.529447,8.31,8.31,8.32,8.3,12547.0,36.48749358696219,20.176241287719183,0.0086728799209548,8.495214121965361,8.214785878034693,24.35897435897431,-62.575210589634985
2026-09-02 16:37:27.975413,8.38,8.38,8.38,8.38,23547.0,49.2457445189732,14.729867741688617,0.0203855009470119,8.395108610162374,8.256891389837676,55.55555555555619,164.33086012650085
2026-09-02 18:44:49.791282,8.38,8.38,8.38,8.38,23547.0,49.2457445189732,14.729867741688617,0.0203855009470119,8.395108610162374,8.256891389837676,55.55555555555619,164.33086012650085
2026-09-03 12:02:18.089516,8.29,8.32,8.32,8.29,16571.0,39.494299558676566,10.494539995498322,0.0011375348999933,8.41286137252453,8.274138627475521,9.803921568627253,-127.7705345501626
2026-09-03 16:28:51.898871,8.19,8.19,8.19,8.19,82618.0,30.81143940509004,16.09939715185808,-0.0075713642943334,8.436845966253424,8.208154033746629,19.785575048732564,-169.85138004242745
2026-09-03 18:42:07.147743,8.19,8.19,8.19,8.19,82618.0,30.81143940509004,16.09939715185808,-0.0075713642943334,8.436845966253424,8.208154033746629,19.785575048732564,-169.85138004242745
2026-09-04 12:04:01.111207,8.18,8.18,8.18,8.16,1069.0,35.68261311065062,22.79346066778678,0.0026268570358096,8.322658333000547,8.109341666999509,33.33333333333369,-56.32183908044146
2026-09-04 16:24:41.173512,8.19,8.19,8.19,8.19,38568.0,43.05667991931213,16.626182426833,0.009229233086963,8.228733285766404,8.13526671423365,66.66666666666613,53.42902711333468
2026-09-04 18:25:52.129273,8.19,8.19,8.19,8.19,38568.0,43.05667991931213,16.626182426833,0.009229233086963044,8.228733285766404,8.13526671423365,66.66666666666613,53.429027113334676
